blue,green,red,rededge,nir,NDVI,NDRE,RVI,DVI,EVI,OSAVI,LAI
0.017190444269543696,0.03738833682867783,0.04984174042041567,0.38436554212840157,0.6818526303809486,0.8637634872476999,0.2790114566911714,13.680350802881414,0.6320108899605329,0.8531580812043804,0.8221792669539456,4.84463727309203
0.04624280415557172,0.08357171869155032,0.12413270040921327,0.23532724385223525,0.4220040232393402,0.5454152860953888,0.28399193206365303,3.3996198250096263,0.29787132283012696,0.40916858018084534,0.4893255343021412,1.2097417880122352
0.02099767965382061,0.031664465255611215,0.06068367326861133,0.3626969955508091,0.6286723772626849,0.8239409740683454,0.26829089774493636,10.35982563022614,0.5679887039940735,0.7737035261551328,0.7757251961220897,3.85340529190784
0.021881890197547216,0.03850718755388338,0.05123923375858788,0.37611187729106976,0.6532591343806103,0.8545369575046381,0.2692394202427211,12.74919546936369,0.6020199006220225,0.8377302659594521,0.8078014978173869,4.325489024958694
0.017517465890463657,0.02916592878666864,0.0352642858780035,0.4122441621119688,0.7365618598051499,0.9086211561545473,0.2823084913229104,20.886901084124254,0.7012975739271464,0.9650353235274187,0.8730224847134512,6.494213760601798
0.07103386830780557,0.10904210278168046,0.1598953548872435,0.17391200059978448,0.3311592991143725,0.34876757473698566,0.3113368260881447,2.071100055638902,0.17126394422712898,0.24358024753489446,0.3051451533768238,0.4682419756114887
0.027242993698866416,0.05843152951440551,0.07801939417737086,0.3175792055375507,0.5478529868148259,0.7506859216023684,0.26607951570481886,7.02200936537949,0.469833592637455,0.6483514948024869,0.6935056807013588,2.623478999825942
0.014244419400343721,0.028010119208674484,0.040377345436364065,0.4162422746587856,0.7421913752417486,0.8968081681429406,0.2813705366701359,18.381376571614865,0.7018140298053845,0.9344451559646425,0.8637081287308932,6.5577029695165345
0.04641277860989469,0.07378255215935174,0.11058912232601689,0.2536654912219441,0.45372824466859996,0.6080605282262224,0.2828166839315142,4.102828506973077,0.34313912234258304,0.48488793516026063,0.5495400145844554,1.5205473859001528
0.011555075367188562,0.03708646421885261,0.04428857520482451,0.4023800477327669,0.7103577131002043,0.8826242696630228,0.2767747023963175,16.039295674381187,0.6660691378953798,0.8813114398813159,0.8447420619210441,5.692402298258645
0.09189688118162136,0.13350759692277,0.19211121669366452,0.1302899185982445,0.27140862587165077,0.17107661891744394,0.35130499152439,1.4127681684341737,0.07929740917798625,0.11427132018904752,0.14752536630231572,0.011238744716470461
